id,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
223,896985,DESTINATION MATERNITY CORP,7748,Nasdaq Global Market,DEST,5621,Women's Clothing Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=896985&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/896985/000119312514221376/0001193125-14-221376-index.htm,http://www.sec.gov/Archives/edgar/data/896985/000119312515206733/0001193125-15-206733-index.htm,,2016-04-30
224,1411658,DIGITILITI INC,756089,OTC,DIGI,3572,Computer Storage Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1411658&start=0&type=SD,,,,2016-04-30
225,1089063,DICKS SPORTING GOODS INC,373757,NYSE,DKS,5940,Miscellaneous Shopping Goods Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1089063&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1089063/000108906314000091/0001089063-14-000091-index.htm,http://www.sec.gov/Archives/edgar/data/1089063/000108906315000065/0001089063-15-000065-index.htm,,2016-04-30
226,1365038,DEMAND MEDIA INC.,710930,NYSE,DMD,7374,Computer Processing and Data Preparation and Processing Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1365038&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1365038/000110465914043289/0001104659-14-043289-index.htm,http://www.sec.gov/Archives/edgar/data/1365038/000110465915042510/0001104659-15-042510-index.htm,,2016-04-30
227,707388,DIGIRAD CORP,90024,Nasdaq Global Market,DRAD,3845,Electromedical and Electrotherapeutic Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=707388&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/707388/000070738814000027/0000707388-14-000027-index.htm,http://www.sec.gov/Archives/edgar/data/707388/000070738815000032/0000707388-15-000032-index.htm,,2016-04-30
228,1093557,DEXCOM INC,112654,Nasdaq Global Market,DXCM,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1093557&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1093557/000109355714000159/0001093557-14-000159-index.htm,http://www.sec.gov/Archives/edgar/data/1093557/000109355715000169/0001093557-15-000169-index.htm,,2016-04-30
229,818479,DENTSPLY SIRONA INC.,10307,Nasdaq Global Market,XRAY,3843,Dental Equipment and Supplies,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=818479&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/818479/000081847914000020/0000818479-14-000020-index.htm,http://www.sec.gov/Archives/edgar/data/818479/000081847915000025/0000818479-15-000025-index.htm,,2016-04-30
230,29644,DONALDSON CO INC,1528,NYSE,DCI,3564,Industrial and Commercial Fans and Blowers and Air Purification ,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=29644&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/29644/000089710114000782/0000897101-14-000782-index.htm,http://www.sec.gov/Archives/edgar/data/29644/000089710115000756/0000897101-15-000756-index.htm,,2016-04-30
231,28917,DILLARDS INC,11112,NYSE,DDS,5311,Department Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=28917&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/28917/000002891714000091/0000028917-14-000091-index.htm,http://www.sec.gov/Archives/edgar/data/28917/000002891715000096/0000028917-15-000096-index.htm,,2016-04-30
232,29002,DIODES INC /DEL/,10636,Nasdaq Global Market,DIOD,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=29002&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/29002/000119312514222585/0001193125-14-222585-index.htm,http://www.sec.gov/Archives/edgar/data/29002/000156459015004791/0001564590-15-004791-index.htm,,2016-04-30
233,1308547,"DOLBY LABORATORIES, INC.",655607,NYSE,DLB,6794,Patent Owners and Lessors,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1308547&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1308547/000144530514002423/0001445305-14-002423-index.htm,http://www.sec.gov/Archives/edgar/data/1308547/000119312515202002/0001193125-15-202002-index.htm,,2016-04-30
234,868780,"DORMAN PRODUCTS, INC.",3363,Nasdaq Global Market,DORM,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=868780&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/868780/000119312514219557/0001193125-14-219557-index.htm,http://www.sec.gov/Archives/edgar/data/868780/000119312515206253/0001193125-15-206253-index.htm,,2016-04-30
235,29905,DOVER CORP,9123,NYSE,DOV,3530,"Construction, Mining, And Materials Handling",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=29905&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/29905/000119312514220342/0001193125-14-220342-index.htm,http://www.sec.gov/Archives/edgar/data/29905/000119312515206954/0001193125-15-206954-index.htm,,2016-04-30
236,29915,DOW CHEMICAL CO /DE/,6197,NYSE,DOW,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=29915&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/29915/000119312514222483/0001193125-14-222483-index.htm,http://www.sec.gov/Archives/edgar/data/29915/000119312515208664/0001193125-15-208664-index.htm,,2016-04-30
237,1287213,"DOUGLAS DYNAMICS, INC",631367,NYSE,PLOW,3531,Construction Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1287213&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1287213/000110465914043312/0001104659-14-043312-index.htm,http://www.sec.gov/Archives/edgar/data/1287213/000110465915041695/0001104659-15-041695-index.htm,,2016-04-30
238,34067,DYNAMIC MATERIALS CORP,927,Nasdaq Global Market,BOOM,3390,Miscellaneous Primary Metal Products,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=34067&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/34067/000003406714000018/0000034067-14-000018-index.htm,http://www.sec.gov/Archives/edgar/data/34067/000003406715000034/0000034067-15-000034-index.htm,,2016-04-30
239,30305,DUCOMMUN INC /DE/,574,NYSE,DCO,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=30305&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/30305/000119312514221625/0001193125-14-221625-index.htm,http://www.sec.gov/Archives/edgar/data/30305/000119312515206847/0001193125-15-206847-index.htm,,2016-04-30
240,30554,DUPONT E I DE NEMOURS & CO,2344,NYSE,DD,2820,"Plastics Materials And Synthetic Resins, Synthetic",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=30554&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/30554/000003055414000024/0000030554-14-000024-index.htm,http://www.sec.gov/Archives/edgar/data/30554/000003055415000037/0000030554-15-000037-index.htm,,2016-04-30
241,1042893,DRIL-QUIP INC,11793,NYSE,DRQ,3533,Oil and Gas Field Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1042893&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1042893/000119312514340382/0001193125-14-340382-index.htm,http://www.sec.gov/Archives/edgar/data/1042893/000119312515198792/0001193125-15-198792-index.htm,,2016-04-30
242,915778,DSP GROUP INC /DE/,4270,Nasdaq Global Market,DSPG,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=915778&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/915778/000143774914010405/0001437749-14-010405-index.htm,http://www.sec.gov/Archives/edgar/data/915778/000143774915011441/0001437749-15-011441-index.htm,,2016-04-30
243,714603,DST SYSTEMS INC,9134,NYSE,DST,7374,Computer Processing and Data Preparation and Processing Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=714603&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/714603/000114036115022426/0001140361-15-022426-index.htm,,2016-04-30
244,1226308,"DTS, INC.",404378,Nasdaq Global Market,DTSI,6794,Patent Owners and Lessors,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1226308&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/1226308/000110465915041396/0001104659-15-041396-index.htm,,2016-04-30
245,763744,DREW INDUSTRIES INC,10037,NYSE,DW,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=763744&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/763744/000076374414000008/0000763744-14-000008-index.htm,http://www.sec.gov/Archives/edgar/data/763744/000076374415000152/0000763744-15-000152-index.htm,,2016-04-30
246,1297401,"DREAMWORKS ANIMATION SKG, INC.",643604,Nasdaq Global Market,DWA,7812,Motion Picture and Video Tape Production,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1297401&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1297401/000119312514221743/0001193125-14-221743-index.htm,http://www.sec.gov/Archives/edgar/data/1297401/000119312515206501/0001193125-15-206501-index.htm,,2016-04-30
247,1446140,"EASTERN SECURITY & PROTECTION SERVICES, INC.",789138,OTC,EAST,3669,"Communications Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1446140&start=0&type=SD,,,,2016-04-30
248,31462,ECOLAB INC.,7317,NYSE,ECL,2840,"Soap, Detergents, And Cleaning Preparations;",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=31462&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/31462/000110465914043293/0001104659-14-043293-index.htm,http://www.sec.gov/Archives/edgar/data/31462/000110465915042463/0001104659-15-042463-index.htm,,2016-04-30
249,31347,ECHELON CORP,9502,Nasdaq Global Market,ELON,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=31347&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/31347/000003134714000023/0000031347-14-000023-index.htm,http://www.sec.gov/Archives/edgar/data/31347/000003134715000021/0000031347-15-000021-index.htm,,2016-04-30
250,915389,EASTMAN CHEMICAL CO,2209,NYSE,EMN,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=915389&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/915389/000091538914000039/0000915389-14-000039-index.htm,http://www.sec.gov/Archives/edgar/data/915389/000091538915000038/0000915389-15-000038-index.htm,,2016-04-30
251,726514,ELECTRO SCIENTIFIC INDUSTRIES INC,2782,Nasdaq Global Market,ESIO,3690,"Miscellaneous Electrical Machinery, Equipment,",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=726514&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/726514/000072651414000046/0000726514-14-000046-index.htm,http://www.sec.gov/Archives/edgar/data/726514/000072651415000052/0000726514-15-000052-index.htm,,2016-04-30
252,1027664,ELBIT SYSTEMS LTD,97149,Nasdaq Global Market,ESLT,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1027664&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1027664/000117891314001922/0001178913-14-001922-index.htm,http://www.sec.gov/Archives/edgar/data/1027664/000162828015004341/0001628280-15-004341-index.htm,,2016-04-30
253,1551182,EATON CORP PLC,884574,NYSE,ETN,3590,Miscellaneous Industrial And Commercial,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1551182&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1551182/000155118214000022/0001551182-14-000022-index.htm,http://www.sec.gov/Archives/edgar/data/1551182/000155118215000014/0001551182-15-000014-index.htm,,2016-04-30
254,1099800,EDWARDS LIFESCIENCES CORP,69863,NYSE,EW,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1099800&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1099800/000110465914043345/0001104659-14-043345-index.htm,http://www.sec.gov/Archives/edgar/data/1099800/000109980015000015/0001099800-15-000015-index.htm,,2016-04-30
255,31235,EASTMAN KODAK CO,10271,NYSE,KODK,3861,Photographic Equipment and Supplies,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=31235&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/31235/000003123514000011/0000031235-14-000011-index.htm,http://www.sec.gov/Archives/edgar/data/31235/000114036115022559/0001140361-15-022559-index.htm,,2016-04-30
256,1415404,ECHOSTAR CORP,761637,Nasdaq Global Market,SATS,3663,Radio and Television Broadcasting and Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1415404&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1415404/000110465914043397/0001104659-14-043397-index.htm,http://www.sec.gov/Archives/edgar/data/1415404/000110465915042400/0001104659-15-042400-index.htm,,2016-04-30
257,867374,ELECTRONICS FOR IMAGING INC,7904,Nasdaq Global Market,EFII,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=867374&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/867374/000119312514222157/0001193125-14-222157-index.htm,http://www.sec.gov/Archives/edgar/data/867374/000119312515209183/0001193125-15-209183-index.htm,,2016-04-30
258,1013606,ENDOLOGIX INC /DE/,6460,Nasdaq Global Market,ELGX,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1013606&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1013606/000101360614000033/0001013606-14-000033-index.htm,http://www.sec.gov/Archives/edgar/data/1013606/000101360615000111/0001013606-15-000111-index.htm,,2016-04-30
259,1024672,ELTEK LTD,1243,Nasdaq Capital Market,ELTK,3672,Printed Circuit Boards,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1024672&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1024672/000117891314001830/0001178913-14-001830-index.htm,http://www.sec.gov/Archives/edgar/data/1024672/000117891315001724/0001178913-15-001724-index.htm,,2016-04-30
260,790070,EMC CORP,6149,NYSE,EMC,3572,Computer Storage Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=790070&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/790070/000079007014000075/0000790070-14-000075-index.htm,http://www.sec.gov/Archives/edgar/data/790070/000079007015000106/0000790070-15-000106-index.htm,,2016-04-30
261,808326,EMCORE CORP,9224,Nasdaq Global Market,EMKR,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=808326&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/808326/000080832614000021/0000808326-14-000021-index.htm,http://www.sec.gov/Archives/edgar/data/808326/000080832615000019/0000808326-15-000019-index.htm,,2016-04-30
262,32604,EMERSON ELECTRIC CO,7137,NYSE,EMR,3600,Electronic & Other Electrical Equipment (No Computer Equip),https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=32604&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/32604/000095013814000479/0000950138-14-000479-index.htm,http://www.sec.gov/Archives/edgar/data/32604/000095013815000388/0000950138-15-000388-index.htm,,2016-04-30
263,1632790,"ENERGIZER HOLDINGS, INC.",956875,NYSE,ENR,3690,"Miscellaneous Electrical Machinery, Equipment,",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1632790&start=0&type=SD,,,,2016-04-30
264,1421517,"ENERGY RECOVERY, INC.",774558,Nasdaq Global Market,ERII,3559,"Special Industry Machinery, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1421517&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1421517/000143774914010333/0001437749-14-010333-index.htm,http://www.sec.gov/Archives/edgar/data/1421517/000143774915010725/0001437749-15-010725-index.htm,,2016-04-30
265,1355444,EMBRAER S.A.,701759,NYSE,ERJ,3721,Aircraft,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1355444&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1355444/000129281414001394/0001292814-14-001394-index.htm,http://www.sec.gov/Archives/edgar/data/1355444/000129281415001370/0001292814-15-001370-index.htm,,2016-04-30
266,850460,ENCORE WIRE CORP,10648,Nasdaq Global Market,WIRE,3350,"Rolling, Drawing, And Extruding Of Nonferrous",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=850460&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/850460/000119312514220056/0001193125-14-220056-index.htm,http://www.sec.gov/Archives/edgar/data/850460/000119312515205521/0001193125-15-205521-index.htm,,2016-04-30
267,1001250,ESTEE LAUDER COMPANIES INC,6669,NYSE,EL,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1001250&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/1001250/000110465915042007/0001104659-15-042007-index.htm,,2016-04-30
268,33488,ESCALADE INC,5621,Nasdaq Global Market,ESCA,3949,"Sporting and Athletic Goods, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=33488&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/33488/000114420414034379/0001144204-14-034379-index.htm,http://www.sec.gov/Archives/edgar/data/33488/000114420415033885/0001144204-15-033885-index.htm,,2016-04-30
269,866706,ESCO TECHNOLOGIES INC,10694,NYSE,ESE,3669,"Communications Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=866706&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/866706/000114036114023916/0001140361-14-023916-index.htm,http://www.sec.gov/Archives/edgar/data/866706/000114036115021850/0001140361-15-021850-index.htm,,2016-04-30
270,33619,ESTERLINE TECHNOLOGIES CORP,5377,NYSE,ESL,3823,"Industrial Instruments for Measurement, Display, and Control of ",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=33619&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/33619/000119312514222177/0001193125-14-222177-index.htm,http://www.sec.gov/Archives/edgar/data/33619/000119312515209263/0001193125-15-209263-index.htm,,2016-04-30
271,355999,ESSENDANT INC,6263,Nasdaq Global Market,ESND,5110,Paper And Paper Products,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=355999&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/355999/000119312514219970/0001193125-14-219970-index.htm,http://www.sec.gov/Archives/edgar/data/355999/000119312515208108/0001193125-15-208108-index.htm,,2016-04-30
272,753568,EXAR CORP,8154,NYSE,EXAR,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=753568&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/753568/000143774914010486/0001437749-14-010486-index.htm,http://www.sec.gov/Archives/edgar/data/753568/000143774915011563/0001437749-15-011563-index.htm,,2016-04-30
273,1483510,"EXPRESS, INC.",821458,NYSE,EXPR,5600,Retail-Apparel & Accessory Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1483510&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1483510/000148351014000089/0001483510-14-000089-index.htm,http://www.sec.gov/Archives/edgar/data/1483510/000148351015000100/0001483510-15-000100-index.htm,,2016-04-30
274,1561627,EXONE CO,896804,Nasdaq Global Market,XONE,3555,Printing Trades Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1561627&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1561627/000119312514215095/0001193125-14-215095-index.htm,http://www.sec.gov/Archives/edgar/data/1561627/000119312515197751/0001193125-15-197751-index.htm,,2016-04-30
275,1078271,EXTREME NETWORKS INC,4504,Nasdaq Global Market,EXTR,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1078271&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1078271/000107827114000038/0001078271-14-000038-index.htm,http://www.sec.gov/Archives/edgar/data/1078271/000107827115000082/0001078271-15-000082-index.htm,,2016-04-30
276,892534,EZCHIP SEMICONDUCTOR LTD,77657,Nasdaq Global Market,EZCH,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=892534&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/892534/000117891314001983/0001178913-14-001983-index.htm,http://www.sec.gov/Archives/edgar/data/892534/000117891315001799/0001178913-15-001799-index.htm,,2016-04-30
277,917491,FARO TECHNOLOGIES INC,9228,Nasdaq Global Market,FARO,3829,"Measuring and Controlling Devices, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=917491&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/917491/000119312514222414/0001193125-14-222414-index.htm,http://www.sec.gov/Archives/edgar/data/917491/000119312515208282/0001193125-15-208282-index.htm,,2016-04-30
278,815556,FASTENAL CO,8709,Nasdaq Global Market,FAST,5200,"Retail-Building Materials, Hardware, Garden Supply",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=815556&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/815556/000081555614000036/0000815556-14-000036-index.htm,http://www.sec.gov/Archives/edgar/data/815556/000081555615000040/0000815556-15-000040-index.htm,,2016-04-30
279,1036960,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,11493,Nasdaq Global Market,FCS,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1036960&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1036960/000119312514219827/0001193125-14-219827-index.htm,http://www.sec.gov/Archives/edgar/data/1036960/000119312515208157/0001193125-15-208157-index.htm,,2016-04-30
280,1419581,FEDERAL-MOGUL HOLDINGS CORP,765138,Nasdaq Global Market,FDML,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1419581&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1419581/000119312514222228/0001193125-14-222228-index.htm,http://www.sec.gov/Archives/edgar/data/1419581/000119312515209149/0001193125-15-209149-index.htm,,2016-04-30
281,1048695,F5 NETWORKS INC,1870,Nasdaq Global Market,FFIV,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1048695&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1048695/000144530514002376/0001445305-14-002376-index.htm,http://www.sec.gov/Archives/edgar/data/1048695/000104869515000010/0001048695-15-000010-index.htm,,2016-04-30
282,1408710,FABRINET,761699,NYSE,FN,3661,Telephone and Telegraph Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1408710&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/1408710/000119312514220425/0001193125-14-220425-index.htm,http://www.sec.gov/Archives/edgar/data/1408710/000119312515206652/0001193125-15-206652-index.htm,,2016-04-30
283,277509,FEDERAL SIGNAL CORP /DE/,5234,NYSE,FSS,3711,Motor Vehicles and Passenger Car Bodies,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=277509&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/277509/000027750914000042/0000277509-14-000042-index.htm,http://www.sec.gov/Archives/edgar/data/277509/000027750915000046/0000277509-15-000046-index.htm,,2016-04-30
284,34088,EXXON MOBIL CORP,3810,NYSE,XOM,2911,Petroleum Refining,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=34088&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/34088/000003408814000022/0000034088-14-000022-index.htm,http://www.sec.gov/Archives/edgar/data/34088/000003408815000025/0000034088-15-000025-index.htm,,2016-04-30
285,914329,FEI CO,11288,Nasdaq Global Market,FEIC,3826,Laboratory Analytical Instruments,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=914329&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/914329/000091432914000106/0000914329-14-000106-index.htm,http://www.sec.gov/Archives/edgar/data/914329/000091432915000090/0000914329-15-000090-index.htm,,2016-04-30
286,1370880,"FIREEYE, INC.",716732,Nasdaq Global Market,FEYE,3577,"Computer Peripheral Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1370880&start=0&type=SD,,http://www.sec.gov/Archives/edgar/data/1370880/000119312515209238/0001193125-15-209238-index.htm,,2016-04-30
287,866374,FLEXTRONICS INTERNATIONAL LTD.,6240,Nasdaq Global Market,FLEX,3672,Printed Circuit Boards,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=866374&start=0&type=SD,http://www.sec.gov/Archives/edgar/data/866374/000110465914042967/0001104659-14-042967-index.htm,http://www.sec.gov/Archives/edgar/data/866374/000110465915042045/0001104659-15-042045-index.htm,,2016-04-30
