,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
20,785787,AEP INDUSTRIES INC,3900,Nasdaq Global Market,AEPI,3081,Unsupported Plastics Film and Sheet,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=785787&start=0&type=SD,,,,2016-04-30
21,880266,AGCO CORP /DE,8527,NYSE,AGCO,3523,Farm Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=880266&start=0&type=SD,,,,2016-04-30
22,1009891,AIR INDUSTRIES GROUP,71457,NYSE MKT,AIRI,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1009891&start=0&type=SD,,,,2016-04-30
23,816159,AIR METHODS CORP,6171,Nasdaq Global Market,AIRM,4522,"Air Transportation, Nonscheduled",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=816159&start=0&type=SD,,,,2016-04-30
24,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",10017,NYSE,AJRD,3760,Guided Missiles And Space Vehicles And Parts,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=40888&start=0&type=SD,,,,2016-04-30
25,2969,AIR PRODUCTS & CHEMICALS INC /DE/,7570,NYSE,APD,2810,Industrial Inorganic Chemicals,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=2969&start=0&type=SD,,,,2016-04-30
26,804212,AIRGAS INC,3632,NYSE,ARG,5084,Industrial Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=804212&start=0&type=SD,,,,2016-04-30
27,1368622,AEROVIRONMENT INC,722088,Nasdaq Global Market,AVAV,3721,Aircraft,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1368622&start=0&type=SD,,,,2016-04-30
28,4281,ALCOA INC.,10803,NYSE,AA,3350,"Rolling, Drawing, And Extruding Of Nonferrous",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=4281&start=0&type=SD,,,,2016-04-30
29,819793,ALBANY INTERNATIONAL CORP /DE/,9956,NYSE,AIN,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=819793&start=0&type=SD,,,,2016-04-30
30,915913,ALBEMARLE CORP,8245,NYSE,ALB,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=915913&start=0&type=SD,,,,2016-04-30
31,897077,ALAMO GROUP INC,5734,NYSE,ALG,3523,Farm Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=897077&start=0&type=SD,,,,2016-04-30
32,1097149,ALIGN TECHNOLOGY INC,80922,Nasdaq Global Market,ALGN,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1097149&start=0&type=SD,,,,2016-04-30
33,1145460,ALERE INC.,89370,NYSE,ALR,2835,In Vitro and In Vivo Diagnostic Substances,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1145460&start=0&type=SD,,,,2016-04-30
34,886125,ALCATEL LUCENT,10386,NYSE,ALU,3661,Telephone and Telegraph Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=886125&start=0&type=SD,,,,2016-04-30
35,1344413,ALEXZA PHARMACEUTICALS INC.,694307,Nasdaq Global Market,ALXA,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1344413&start=0&type=SD,,,,2016-04-30
36,1018963,ALLEGHENY TECHNOLOGIES INC,4515,NYSE,ATI,3317,Steel Pipe and Tubes,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1018963&start=0&type=SD,,,,2016-04-30
37,1101215,ALLIANCE DATA SYSTEMS CORP,70958,NYSE,ADS,7389,"Business Services, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1101215&start=0&type=SD,,,,2016-04-30
