id,req_company_name,req_cik,req_url,ret_cik,ret_company_name,ret_description,ret_filing_date,ret_sec_accession_number,ret_title,ret_url
55,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312515208997/0001193125-15-208997-index.htm,815094,ABIOMED INC,d929851dex101.htm,2015-06-01 16:04:34,0001193125-15-208997,EX-1.01,https://www.sec.gov/Archives/edgar/data/815094/000119312515208997/d929851dex101.htm
56,ABIOMED INC,815094,http://www.sec.gov/Archives/edgar/data/815094/000119312515208997/0001193125-15-208997-index.htm,815094,ABIOMED INC,0001193125-15-208997.txt,2015-06-01 16:04:34,0001193125-15-208997,Complete submission text file,https://www.sec.gov/Archives/edgar/data/815094/000119312515208997/0001193125-15-208997.txt
57,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030-index.htm,712034,ACCO BRANDS Corp,acco-2014sdxconflictminera.htm,2014-06-02 16:04:26,0000712034-14-000030,SD REPORT,https://www.sec.gov/Archives/edgar/data/712034/000071203414000030/acco-2014sdxconflictminera.htm
58,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030-index.htm,712034,ACCO BRANDS Corp,acco-2014102.htm,2014-06-02 16:04:26,0000712034-14-000030,EXHIBIT,https://www.sec.gov/Archives/edgar/data/712034/000071203414000030/acco-2014102.htm
59,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030-index.htm,712034,ACCO BRANDS Corp,officialaccologoreda01.jpg,2014-06-02 16:04:26,0000712034-14-000030,,https://www.sec.gov/Archives/edgar/data/712034/000071203414000030/officialaccologoreda01.jpg
60,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030-index.htm,712034,ACCO BRANDS Corp,0000712034-14-000030.txt,2014-06-02 16:04:26,0000712034-14-000030,Complete submission text file,https://www.sec.gov/Archives/edgar/data/712034/000071203414000030/0000712034-14-000030.txt
61,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029-index.htm,712034,ACCO BRANDS Corp,acco-2015sdxconflictminera.htm,2015-06-01 15:15:59,0000712034-15-000029,SD,https://www.sec.gov/Archives/edgar/data/712034/000071203415000029/acco-2015sdxconflictminera.htm
62,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029-index.htm,712034,ACCO BRANDS Corp,acco-2015102.htm,2015-06-01 15:15:59,0000712034-15-000029,EXHIBIT 1.01,https://www.sec.gov/Archives/edgar/data/712034/000071203415000029/acco-2015102.htm
63,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029-index.htm,712034,ACCO BRANDS Corp,officialaccologoreda01a04.jpg,2015-06-01 15:15:59,0000712034-15-000029,,https://www.sec.gov/Archives/edgar/data/712034/000071203415000029/officialaccologoreda01a04.jpg
64,ACCO BRANDS CORP,712034,http://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029-index.htm,712034,ACCO BRANDS Corp,0000712034-15-000029.txt,2015-06-01 15:15:59,0000712034-15-000029,Complete submission text file,https://www.sec.gov/Archives/edgar/data/712034/000071203415000029/0000712034-15-000029.txt
65,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000114420414034813/0001144204-14-034813-index.htm,880984,"ACORN ENERGY, INC.",v380064_sd.htm,2014-06-02 06:01:47,0001144204-14-034813,SD,https://www.sec.gov/Archives/edgar/data/880984/000114420414034813/v380064_sd.htm
66,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000114420414034813/0001144204-14-034813-index.htm,880984,"ACORN ENERGY, INC.",v380064_ex1-01.htm,2014-06-02 06:01:47,0001144204-14-034813,EXHIBIT 1.02,https://www.sec.gov/Archives/edgar/data/880984/000114420414034813/v380064_ex1-01.htm
67,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000114420414034813/0001144204-14-034813-index.htm,880984,"ACORN ENERGY, INC.",0001144204-14-034813.txt,2014-06-02 06:01:47,0001144204-14-034813,Complete submission text file,https://www.sec.gov/Archives/edgar/data/880984/000114420414034813/0001144204-14-034813.txt
