,link,size,filing_date,year,cik
662,https://www.sec.gov/Archives/edgar/data/10456/000119312518179597/0001193125-18-179597-index.htm,153 KB,2018-05-31,2018,0000010456
668,https://www.sec.gov/Archives/edgar/data/70866/000119312518176862/0001193125-18-176862-index.htm,27 KB,2018-05-29,2018,0000070866
674,https://www.sec.gov/Archives/edgar/data/1026980/000117184318004012/0001171843-18-004012-index.htm,13 KB,2018-05-16,2018,0001026980
680,https://www.sec.gov/Archives/edgar/data/1078271/000156459018014829/0001564590-18-014829-index.htm,151 KB,2018-05-31,2018,0001078271
686,https://www.sec.gov/Archives/edgar/data/1001082/000155837018005068/0001558370-18-005068-index.htm,745 KB,2018-05-31,2018,0001001082
689,https://www.sec.gov/Archives/edgar/data/1140859/000114085918000022/0001140859-18-000022-index.htm,55 KB,2018-05-30,2018,0001140859
695,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000102/0001018724-18-000102-index.htm,350 KB,2018-05-31,2018,0001018724
700,https://www.sec.gov/Archives/edgar/data/87565/000119312518179878/0001193125-18-179878-index.htm,35 KB,2018-05-31,2018,0000087565
702,https://www.sec.gov/Archives/edgar/data/22444/000119312518179650/0001193125-18-179650-index.htm,17 KB,2018-05-31,2018,0000022444
708,https://www.sec.gov/Archives/edgar/data/1641991/000164199118000033/0001641991-18-000033-index.htm,946 KB,2018-05-24,2018,0001641991
712,https://www.sec.gov/Archives/edgar/data/896622/000155837018005035/0001558370-18-005035-index.htm,82 KB,2018-05-31,2018,0000896622
718,https://www.sec.gov/Archives/edgar/data/1136869/000119312518180381/0001193125-18-180381-index.htm,252 KB,2018-05-31,2018,0001136869
724,https://www.sec.gov/Archives/edgar/data/93556/000009355618000018/0000093556-18-000018-index.htm,450 KB,2018-05-22,2018,0000093556
734,https://www.sec.gov/Archives/edgar/data/1275014/000095010318006712/0000950103-18-006712-index.htm,46 KB,2018-05-30,2018,0001275014
740,https://www.sec.gov/Archives/edgar/data/715153/000119312518175836/0001193125-18-175836-index.htm,120 KB,2018-05-29,2018,0000715153
746,https://www.sec.gov/Archives/edgar/data/1390844/000119312518179390/0001193125-18-179390-index.htm,43 KB,2018-05-31,2018,0001390844
752,https://www.sec.gov/Archives/edgar/data/1325702/000119312518180322/0001193125-18-180322-index.htm,120 KB,2018-05-31,2018,0001325702
758,https://www.sec.gov/Archives/edgar/data/1324948/000161577418004507/0001615774-18-004507-index.htm,27 KB,2018-05-30,2018,0001324948
763,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000537/0000929638-18-000537-index.htm,22 KB,2018-05-31,2018,0001050140
771,https://www.sec.gov/Archives/edgar/data/1091907/000089843218000650/0000898432-18-000650-index.htm,23 KB,2018-05-31,2018,0001091907
777,https://www.sec.gov/Archives/edgar/data/1625791/000121390018007092/0001213900-18-007092-index.htm,346 KB,2018-05-31,2018,0001625791
779,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000028/0001336920-18-000028-index.htm,41 KB,2018-05-23,2018,0001336920
785,https://www.sec.gov/Archives/edgar/data/883984/000088398418000021/0000883984-18-000021-index.htm,34 KB,2018-05-31,2018,0000883984
788,https://www.sec.gov/Archives/edgar/data/1068148/000106814818000010/0001068148-18-000010-index.htm,56 KB,2018-05-24,2018,0001068148
794,https://www.sec.gov/Archives/edgar/data/38725/000003872518000135/0000038725-18-000135-index.htm,29 KB,2018-05-31,2018,0000038725
799,https://www.sec.gov/Archives/edgar/data/1481792/000148179218000018/0001481792-18-000018-index.htm,536 KB,2018-05-30,2018,0001481792
804,https://www.sec.gov/Archives/edgar/data/92679/000119312518172818/0001193125-18-172818-index.htm,193 KB,2018-05-24,2018,0000092679
810,https://www.sec.gov/Archives/edgar/data/704532/000156459018014355/0001564590-18-014355-index.htm,69 KB,2018-05-25,2018,0000704532
816,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000045/0001326801-18-000045-index.htm,65 KB,2018-05-25,2018,0001326801
819,https://www.sec.gov/Archives/edgar/data/1632790/000163279018000048/0001632790-18-000048-index.htm,286 KB,2018-05-30,2018,0001632790
823,https://www.sec.gov/Archives/edgar/data/1299130/000129913018000038/0001299130-18-000038-index.htm,89 KB,2018-05-18,2018,0001299130
829,https://www.sec.gov/Archives/edgar/data/1408710/000119312518178487/0001193125-18-178487-index.htm,150 KB,2018-05-30,2018,0001408710
835,https://www.sec.gov/Archives/edgar/data/729580/000072958018000018/0000729580-18-000018-index.htm,124 KB,2018-05-31,2018,0000729580
